LineCode,LineText,Comment
line:0ffeaf,Mae: Sono contenta di non averti vomitato in auto.,
line:977681,Bea: Anch'io.,
line:9b111f,Mae: Forse non toccherò più un goccio d'alcol in vita mia.,
line:310058,Bea: Oooo forse la prossima volta eviti semplicemente di alzare troppo il gomito.,
line:f64e6b,Mae: Non so se riesco a controllarmi.,
line:9b7307,Bea: Lo vedo.,
line:4ed73b,Mae: Credo che nel mio caso si possa parlare di "comportamento incline al rischio".,
line:645f29,Bea: -_- ,
line:09539f,Bea: ...ti stai facendo almeno vedere da qualcuno?,
line:e1f502,Mae: Uscire con te stasera mi sta aiutando molto.,
line:c544fa,Bea: ... ,
line:a3d1bc, ... ,
line:6bda1e," Così, tanto per dire.",
line:3c920e,Bea: Dovresti pagarmi per ogni ora che passo con te.,
line:c5ae58,Mae: Se vuoi ho una gomma da masticare.,
line:2f8028,Bea: Adesso accendo la radio.,
