LineCode,LineText,Comment
line:7d24a5,Mae: E' stato incredibile.,
line:9d89af,Chazokov: Possiamo riguardarle assieme tra due giorni.,
line:c5a6b3,Chazokov: Tornerai?,
line:a21f6e,"Sì, se me ne ricordo!",
line:005bf2,Probabilmente no.,
line:67b973,"Chazokov: Oh, sono certo che tornerai.",
line:a50da4,Nessuno resiste alle stelle in eterno.,
line:304062,"Mae: Frase inquietante, Mr. Chazokov.",
line:3a5ef3,Chazokov: Bahahahah.,
line:de514f,Chazokov: Sei tornata?,
line:c8b5a5,"Sì, guardiamo un po' di stelle strane!",
line:108331,"Sì, facevo un giro.",
line:405115,Chazokov: Fantastico! ,
line:65c8ed,Chazokov: Mae Borowski! Avresti potuto bussare giù alla porta d'ingresso. ,
line:4af613,Chazokov: È da maleducati salire sui tetti degli altri! ,
line:903270,Varney: La prossima volta chiamo la polizia!,
line:bde8e7,Mae: Come ti pare.,
line:5eb604,Chazokov: Bahahahahah! ,
line:d9b95b,Chazokov: Ad ogni modo sono contento che hai accettato il mio invito.,
line:375644,"Mae: Allora, cosa stai facendo? ",
line:9bf9b3,Chazokov: Cerco le stelle del tramonto!,
line:65e983,Cosa sono le stelle del tramonto?,
line:f30d6e,Stelle Del Tramonto è il nome del mio gruppo shoegaze.,
line:2e4d7b,Chazokov: Stelle vaganti la cui luce nella notte non si riesce a vedere.,
line:13bc38,Mae: E come mai si vedono al crepuscolo?,
line:44c0e3,Chazokov: È un trucco dell'atmosfera e della luce del sole calante.,
line:32e63b,"Chazokov: Sono visibili ogni anno solo per poche settimane in primavera e in autunno, stupendo. ",
line:bcbd4e,Mae: Che bello.,
line:3ee328,Chazokov: Davvero?,
line:6abfa4,Mae: No.,
line:d20e4f,Chazokov: Shoegaze? È una musica che suonate fissandovi le scarpe? ,
line:8f662a,Mae: Con molto riverbero.,
line:89e1a0,Chazokov: Perché stiamo parlando di scarpe?,
line:de6e3a,Mae: Non mi ricordo più.,
line:1762ae,Chazokov: Vuoi dare un'occhiata?,
line:7f3c22,Sì!,
line:a59dbc,Magari più tardi.,
line:0d77c0,Chazokov: Magnifico!,
line:79fa3b,Chazokov: Fai come preferisci. Io starò quassù per tutto il pomeriggio.,
line:309ad4,Mae: A presto!,
line:aa9533,Mae: Ehm quindi,
line:214911,Mae: quelle storie sulle stelle hanno una morale o qualcosa del genere? ,
line:bfa9e1,"Chazokov: Penso tu debba scoprirlo da te, Mae.",
line:136019,Mae: Se esiste un significato solo perché sono io a volerlo,
line:377c07,"Mae: allora vuol dire che alla fine un senso non ce l'hanno, giusto?",
line:bfa214,Chazokov: ...,
line:ecbab7,Mae: Cosa?,
line:4e0ad4,Chazokov: Devo pensarci un attimo.,
line:8d0b12,Chazokov: Hai cambiato idea?,
line:dbc7e5,Sì... Cioè... le stelle sono fighe.,
line:c5a4e9,"No, sto solo guardando il tuo telescopio.",
line:13e885,Chazokov: Quella riflessione è sempre stata alla base di tutta la mia carriera.,
line:854f53,Chazokov: Da' un'occhiata!,
line:fffa21,Chazokov: È splendida!,
