LineCode,LineText,Comment
line:1e31fb,"Mae: Danny, giusto?",
line:173b22,Dan: Sì.,
line:aa7c41,"Mae: Quando ero al primo anno tu eri all'ultimo, vero?",
line:975937,Dan: Probabile.,
line:8e6335,Mae: Come va?,
line:bb9b0e,Dan: Ho appena perso il lavoro.,
line:34d338,Mae: Oh no!,
line:e85056,Dan: Dicono che l'edilizia assume sempre.,
line:f15d3a,Dan: Ma non è così.,
line:cf9f4e,Dan: Infatti spesso licenzia ragazzi di nome Dan.,
line:0c4300,Mae: E adesso che farai?,
line:394f7a,Dan: Si accettano consigli.,
line:86a190,Non arrenderti!,
line:61e2da,Sono sicura che *qualcuno* in città assume!,
line:4e663f,Mae: Anche io non ho un lavoro.,
line:cbb9f0,"Dan: Ehi, scusa se ti ho annoiato coi miei discorsi.",
line:ea94b4,Dan: Come te la passi?,
line:b07126,Mae: Bene. Ho appena interrotto gli studi al college e vivo coi miei.,
line:e4bbc9,Dan: Ah.,
line:a91e87,Dan: Quindi è come se fossi tornata ad essere una teenager.,
line:8cc110,Mae: NO.,
line:7ab0a1,Mae: Sono solo un'adulta che vive coi suoi.,
line:a63fa1,"Dan: Ah ok, quindi non è che sei disoccupata.",
line:dfad55,Dan: È che ti manca un hobby durante il giorno,
line:f6d174,Dan: che ti dia dei soldi per pagare un affitto che non esiste.,
line:541a24,"Mae: Ok, me ne vado.",
line:58062b,Dan: Sì.,
line:e4db66,"Dan: Beh, c'è sempre la speranza che qualcuno crepi",
line:2fb23b,Dan: E che io prenda il suo lavoro.,
line:631b43,"Mae: Dan, non vorrai mica",
line:a51abb,"Mae: uccidere qualcuno, vero?",
line:be25c9,Dan: Ci guadagnerei qualcosa?,
line:0a16d7,Dan: Prima era un anno che non lavoravo.,
line:89e77e,Dan: e stavolta sono durato solo 6 mesi prima che mi licenziassero.,
line:c03c3e,Dan: Sai in questo modo che succede a un curriculum?,
line:00278b,Mae: Sinceramente no.,
line:d4bfe1,Dan: Ho un curriculum zombi.,
line:0e4484,È morto ma continua a vagare ovunque.,
line:7f148b,Mae: Ah.,
