LineCode,LineText,Comment
line:be5f2c,Mae: :) O_O,
line:fbc79c,Mae: OH SANTO CIELO.,
line:c244dd,Mae: UREV è ancora qui!,
line:2febd7,Bea: Ahah sì. Da secoli ormai.,
line:f00a93,Mae: Riesco già a percepire il tuo nervosismo.,
line:071d18,Bea: Girare là dentro mi fa sentire vecchia.,
line:fe2c8c,Mae: Dobbiamo farlo assolutamente.,
line:390083,Bea: Non pensarci nemmeno.,
line:8ad7dd,Mae:,
line:ffa495,Mae: E il Dollar Empire è ancora qui?,
line:c15121,Bea: Internet non può reggere il confronto con un posto del genere.,
line:f13330,Forse.,
line:1533c3,È qui che venivo quando ero piccola.,
line:2f2cbc,"Mae: Le gomme per cancellare costavano un dollaro, :)",
line:dc30cc,"Mae: anche le matite venivano un dollaro,",
line:733911,Bea: non mi sembra proprio un grande affare,
line:a3815a,"Mae: Cacchio, hai ragione. :(",
line:70fb81,Bea: Mangiamo qualcosa? ,
line:caceeb,Prima diamo un'occhiata al resto dei negozi.,
line:a087c3,Sì!,
line:3a4911,Mae: Mi è venuto un bell'appetito.,
line:6394e2,Bea: Avevo già un po' di fame quando siamo arrivate qui...,
line:4ff7d2,Mae: Mangiamo! \o/,
line:b89e1a,Bea: Ok.,
line:8e41f7,Mae: _o_,
line:2a8493,Mae: Mi aspettavo un po' più di entusiasmo.,
line:4e1d37,Bea: Stiamo per cenare in un centro commerciale.,
line:2f38a3,"Bea: Oh, che cosa magnifica.",
line:fcba11,Mae: Visto? Non era così difficile.,
line:a1a69c,Bea: Cos'hai preso?,
line:4e3eb3,Bea: Hai divorato tutto così in fretta che non ho fatto in tempo a vedere.,
line:f6fa0f,Pizzataco da Go-fer,
line:dc5030,Pierogiburger da Smelterburger,
line:315c9b,Bea: Go-fer ha del cibo spazzatura STRABUONO.,
line:265c9c,"Mae: Già, vorrei ne mettessero uno in città.",
line:ad56eb,Bea: Oooh per me sarebbe la fine.,
line:ca7c33,Mae: Una fine degna.,
line:4ac4ca,"Bea: È solo un ammasso di carboidrati e carne, eh?",
line:b6350e,Mae: Non è di QUESTO che siamo fatti?,
line:d8903c,Bea: Siamo fatti anche di ossa.,
line:f8a4e7,Mae: Non voglio ossa nel mio hamburger.,
line:1b19a0,Bea:{emote=cloud_rain} ,
line:cd2e4e,Mae: Cosa?,
line:e536d0,Bea: ...,
line:6e611a,Mae: Ricordi quando Cathy Daminco ha strappato qui il piercing al naso di Cindy Clark?,
line:71e812,"Bea: Sai perché l'ha fatto, vero?",
line:8fe6f7,Mae: Cathy non era stata messa incinta da... come si chiamava... quello che giocava a football...,
line:8ef90d,Bea: Ron Boonstra. Non pensavo conoscessi questa storia.,
line:2de60b,"Sì, era la prima partita di football del nostro ultimo anno di scuola. ",
line:16ae6d,Mae: e Ron si era messo a correre lungo il margine del campo per gridare agli spalti.,
line:1cbae4,"Mae: "IL MIO PRIMO TOUCHDOWN LO DEDICO AL MIO BELLISSIMO PRIMOGENITO E ALLA SUA MAMMA, CATHY DAMINCO"",
line:8f2c0a,Bea: Wow... che gran gesto.,
line:09f0f5,Mae: Cathy era nella banda della scuola e credo stesse piangendo.,
line:6dbcc1,Mae: E poi l'ha mollata per mettersi con Cindy una settimana dopo.,
line:44cb79,"Bea: Ah sì, ecco la parte della storia che conosco.",
line:5aca4a,Bea: E da questo fatto è scoppiato il casino del piercing.,
line:abcfc9,Chissà Cathy che fine ha fatto.,
line:09a6c3,Chissà Ron cosa fa oggi.,
line:a1a9e0,Chissà cos'è successo a Cindy.,
line:c585ff,"Bea: Beh, l'anno scorso Ron ha avuto un incidente con il quad",
line:b8ffe1,Bea: e non si sa come ma Cathy e lui si sono riconciliati,
line:cef3e9,Bea: e... si sono sposati!,
line:3c4672,Mae: Ah. :\,
line:e93140,"Bea: Già, i genitori di Ron li hanno sistemati in una casa mobile a Briddle.",
line:b165e1,Bea: perché Cathy non voleva finire a Possum Springs.,
line:ca5711,Mae: Briddle è tipo... a 15 minuti da qui.,
line:14e300,"Bea: Uhm, l'anno scorso si è ribaltato col quad.",
line:e3d728,Bea: e i costi delle cure mediche erano molto alti,
line:08d01f,"Bea: così i suoi, non potendogli stare dietro, l'hanno mollato.",
line:2ed9e0,Mae: Così è la vita. :\,
line:a8bcde,Bea: Allora lui è tornato a parlare con Cathy e ora sono sposati.,
line:58bc90,Bea: Gli è andata bene a Ron.,
line:bac673,Bea: Immagino che lei adesso abbia un nuovo piercing al naso.,
line:f23eaf,"Bea: O, al contrario, che non ne abbia più voluto uno.",
line:a7e2db,Bea: Sai qual è la parte peggiore di questa storia?,
line:1f2f71,Lo squallido dramma da scuola superiore?,
line:966694,Il fatto che a Cindy abbiano strappato una cosa dalla faccia?,
line:6ac101,Ron?,
line:4a3cff,Bea: A quei tempi pensavo,
line:1c59e4,Bea: "Dio mescola le carte nei modi più strani per mettere due persone insieme",
line:9a9d9c,Mae: :|,
line:bf2429,Uhm. Credo tu abbia ragione.,
line:015297,Non so nemmeno se credo in Dio.,
line:e60ba3,"Bea: Beh, è sempre stato un modo per dare una spiegazione alle cose, almeno.",
line:84ebb8,"Bea: Idem, davvero.",
line:bf12a9,"Bea: A proposito di questo posto- la fontana, il passaggio per collegarsi a Dio, eccetera...",
line:ed0919,Bea: Una volta non sapere come funzionavano certe cose aveva un non so che di... magico,
line:6e936e,"Bea: Oggi, invece, se qualcosa andasse storto probabilmente non saprei come sistemare la situazione.",
line:ec9122,"Bea: Aiutava sapere che c'era qualcuno che aveva il controllo, capisci?",
line:cb9252,Bea: Oggi quando esco dal negozio sono sempre stanca.,
line:018721,Mae: Quando andavo a scuola...,
line:c0d56f,Bea: Sì?,
line:a91aea,"Mae: Ah, non voglio nemmeno parlarne.",
line:f0af0e,Bea: Che è successo?,
line:1f905a,Mae: ...,
line:29b0fd,Mae: Vuoi scorrazzare per il centro commerciale un altro po'?,
line:ded32d,Bea: Uhm... non è rimasto molto da vedere.,
line:e3fd0e,Mae: Possiamo dare un'occhiata alla schifosa opera artistica del piano di sopra!,
line:33d0ee,Mae: Voglio toccarla.,
line:a40a09,Bea: Ti prego no.,
line:5d0512,Mae: Voglio correre! :),
line:ac0fcf,Bea: Tu corri. Io me ne sto seduta qui.,
line:8628ed,Bea: Sono stanca. E adesso anche triste.,
line:ff0c2a,Mae: :|,
line:6df18f,Fai come ti pare.,
line:c3fe54,"Mae: {size=1.5,locator=MaeGodTalk}[shake=.03]BEATRICE SANTELLO!!![/shake] ",
line:d46596,"Bea: {size=.5,locator=BeaFountainTalk}Ahahah!!! Non dirgli i nostri nomi! ",
line:17b246,Mae: {locator=MaeGodTalk}... ,
line:c5d9e5,Mae: {locator=MaeGodTalk}[shake=.03]BEATRICE JONES!!![/shake] ,
line:259c07,"Bea: {size=.5,locator=BeaFountainTalk}Oh wow! Sei tu, Dio? ",
line:c463b5,"{locator=MaeGodTalk}[shake=.03]SÌ! SONO IO, DIO STEVENSON[/shake] ",
line:410ec8,"Bea: {size=.5,locator=BeaFountainTalk}Non pensavo avessi un cognome!",
line:bf69c4,"Mae: {locator=MaeGodTalk}[shake=.03]ZITTA, MORTALE[/shake] ",
line:854ffb,Mae: {locator=MaeGodTalk}[shake=.03]ATTRAVERSO IL MIO PESCE MOSTRO HO GETTATO LA VOSTRA SPECIE NELLA MISERIA[/shake] ,
line:2ae863,"Bea: {size=.5,locator=BeaFountainTalk}Non lo nego, è stato qualcosa di magico. Sul serio.",
line:f9dbb8,Mae: {locator=MaeGodTalk}[shake=.03]SILENZIO! NON LO RIPETERÒ UN'ALTRA VOLTA![/shake] ,
line:cda151,Mae: {locator=MaeGodTalk}[shake=.03]TU E LA TUA BUONA E NOBILE AMICA PRENDERETE UN GELATO TORNANDO A CASA[/shake] ,
line:563acf,"Bea: {size=.5,locator=BeaFountainTalk}AHAHAH già, è meglio se ce ne andiamo",
line:644588,"Bea: {size=.5,locator=BeaFountainTalk}AHAHAHAH prima che tu venga ARRESTATA",
