LineCode,LineText,Comment
line:f39c37,GreggLaptop: Ehi amica,
line:cf1fe6,GreggLaptop: Tutto ok?,
line:998f31,GreggLaptop: La scorsa notte è stata piuttosto movimentata,
line:d2bcb2,GreggLaptop: Bea ha detto che stai bene,
line:4ce5df,GreggLaptop: Starò tt il giorno allo Snack Falcon,
line:7f5ba1,GreggLaptop: passa di qui se non 6 morta,
line:60f8d9,"GreggLaptop: Cordialmente,",
line:9a6218,GreggLaptop: Greggory,
line:2aee85,GreggLaptop: PS- PIÙ TARDI JAM SESSION CON LA BAND. ODDIO,
line:14d377,GreggLaptop: fine,
line:4fd1f0,BeaLaptop: Ehi.,
line:8d9301,BeaLaptop: Scusa per la notte scorsa.,
line:f40f20,BeaLaptop: Spero tu stia bene.,
line:b421c9,BeaLaptop: Ehm.,
line:9b8685,BeaLaptop: Sì.,
line:4ee566,BeaLaptop: Sono al Pickaxe tutto il giorno.,
line:70baaf,BeaLaptop: Se ti va di passare.,
