LineCode,LineText,Comment
line:11cc47,"Lori: Ehi, assassina.",
line:7742cb,"Mae: Cavolo, non chiamarmi così =_=",
line:e3f2a8,Mae: Chi sei?,
line:642058,Lori: Lori M.,
line:83c4ea,Mae: Come fai a sapere la storia dell'omicidio?,
line:5fc494,"Lori: La notizia ha fatto scalpore, anche tra noi delle scuole medie.",
line:fc9fb2,"Ah, beh. È successo molto tempo fa.",
line:b83ed9,E quelli delle medie che hanno detto?,
line:0ca106,Lori: Perché l'hai fatto?,
line:aee15b,Mae: Non lo so.,
line:c2bfab,Lori: Se lo meritava?,
line:74bbd1,Mae: No.,
line:9894b1,Lori: Le nostre mamme ci hanno detto di non parlarti.,
line:55ea64,Lori: Perché nessuno sapeva quando l'avresti rifatto.,
line:f7a0d8,Lori: L'hai mandato all'ospedale.,
line:6bac83,Lori: E nessuno sa perché.,
line:b7fe54,Lori: Se lo meritava o qualcosa del genere?,
line:74f6ce,Mae: No.,
line:3c8295,Lori: Le nostre mamme ci hanno detto di non parlarti.,
line:09aa43,Lori: Perché nessuno sapeva quando l'avresti rifatto.,
line:c80d1a,"Mae: Beh, salutami tua mamma. Dev'essere una persona adorabile.",
line:f0cd56,Lori: Lo farò.,
line:021c81,Mae: Cavolo. :\,
line:9522f9,Mae: :| o_o,
line:091ad1,"Mae: Ehi, ragazzina.",
line:cd5313,"Lori: Ehi, assassina.",
line:970a9d,Mae: Mi siedo. Ho le gambe stanche.,
line:71f0f4,"Lori: Già, è una bella camminata venire fin quassù, vero?",
line:dc84ab,Mae: È che sto invecchiando. Ho 20 anni. :\,
line:8808ac,Lori: Sei TROOOPPO vecchia.,
line:83d25d,Mae: Tu quanti anni hai?,
line:a73c78,Lori: 16 a febbraio.,
line:ba5b6d,Mae: Una volta venivo qui dopo la scuola.,
line:cca6f6,Lori: Davvero? La maggior parte dei ragazzi non arriva fin quassù.,
line:2db058,Mae: Ah ah. È per questo che è bellissimo. :) =_=,
line:c3b44c,Lori: Meglio che stare a casa!,
line:e9eae9,Mae: o_o :|,
line:8448e0,Mae: Dove abiti?,
line:2e0b44,Lori: In Chestnut street.,
line:889080,"Mae: Ah, ok. Vicino ai binari.",
line:0c9148,Lori: Già... non sono proprio "di città",
line:455e76,Lori: Sono più...,
line:ca56ab,Lori: "di binari".,
line:0aa43c,Mae: Io vivo a Maple.,
line:43988c,Lori: Ooh! Il quartiere ricco!,
line:293c04,Mae: {emote=interrobang} ,
line:33a308,Cosa?,
line:648086,Ehm... no,
line:635a37,"Lori: Oh, scusa.",
line:4ed887,Lori: Intendevo dire che è bello...,
line:5bbbe8,"Lori: Non importa, va tutto bene, scusa scusa",
line:ffc8b9,Mae: :(,
line:ed8b26,Mae: Va bene! Calmati!,
line:54352d,"Lori: Scusami, a volte sparo un sacco di cavolate, scusami",
line:1b52fb,Mae: Ti perdono se la smetti di scusarti!,
line:20fef1,Lori: ok.,
line:752649,Mae: :|,
line:4ecfaf,Mae: I binari sono fighi. È un po' che non passo da quelle parti.,
line:5b0586,Lori: La notte il treno mi fa tremare la stanza.,
line:b671d7,"Mae: Sì, in inverno riesco a sentirlo. :)",
line:c8b9f6,Mae: È uno dei miei rumori preferiti.,
line:8aaebe,"Lori: Beh, tu non devi svegliarti con pezzi di soffitto addosso.",
line:dbba2d,Mae: Hai ragione. :|,
line:849859,Mae: Va bene.,
line:2b0efd,Mae: Io vado! È stata una bella chiacchierata!,
line:1b8333,Lori: Sono qui quasi tutti i giorni.,
line:ba6063,Mae: Figo,
line:cbedba,"Mae: A proposito, hai visto che hanno combinato alla galleria?",
line:283a0c,"Lori: Sì, assurdo, vero?",
line:33ec8c,Lori: Prima la giunta comunale e quel poliziotto hanno cacciato via tutti.,
line:81c19a,Mae: Mi chiedo dove fossero tutti i ragazzi.,
line:33b574,Lori: Ahah boh. Sono tutti più grandi di me.,
line:46eb89,Lori: Mia sorella esce con loro.,
line:b3f214,Mae: <o> -_-,
line:fd18fa,Forse dovrei chiederlo a tua sorella.,
line:82aea3,Hai qualche idea di chi possa essere stato?,
line:2676aa,Lori: Non credo ne sappia qualcosa.,
line:f77845,"Mae: Già, forse hai ragione.",
line:518a6c,Mae: Sai più o meno che luoghi frequenta?,
line:dfdecd,Lori: Ehm... passa molto tempo nella galleria...,
line:99b00a,Lori: quando non ci sono poliziotti in giro.,
line:328a17,Mae: Chiaro.,
line:0e96bc,Lori: Forse quel tizio? Steve?,
line:8dac24,Mae: Steve?,
line:2c4cc4,Lori: Sì. Quello che non va più a scuola,
line:8409a4,Lori: ma che viene ancora a tutte le feste scolastiche,
line:b9b151,Lori: e ci prova con le mie compagne di classe.,
line:66263f,Mae: =_= _o_,
line:b153fa,Mae: Oddio. Steve Scriggins.,
line:0cb166,"Lori: Sì, lui.",
line:4e8e02,Mae: Ok. Può essere.,
line:9b1b39,Lori: Hai qualche idea sui luoghi che frequenta?,
line:294359,Mae: Non lo so. Sono tornata in città solo qualche giorno fa.,
line:77996d,"Mae: Grazie, ragazzina. o_o",
line:bfd689,Mae: A dopo! o/,
line:81e28a,"Lori: A presto, assassina.",
line:69a449,Mae: Ehi. =_= _o_,
line:45be52,Mae: o_o,
line:df953e,Lori: {emote=music} ,
