LineCode,LineText,Comment
line:9dd5f6,"Mae: Beh, si vede che è autunno.",
line:ae1c9f,Mae: Tutti i lavori stradali si concentrano prima dell'inverno.,
line:5ad7a0,Mae: E rendono mezza città inaccessibile.,
line:29a6a9,Mae: A meno che non ci si voglia allungare il percorso,
line:05ca88,Mae: di circa 20 minuti...,
line:1b963f,Mae: ...Direi che non è il caso.,
line:ed72bd,Mae: L'anno che c'è stata l'alluvione questo palo è crollato.,
line:388fe4,Mae: E temevo che potesse elettrizzare l'acqua di tutto il vicinato ,
line:c64377,Mae: e che sarebbe rimasta così,
line:1aa17c,Mae: e ho avuto un po' paura di farmi la doccia,
line:4d1b8d,Mae: e di aprire i rubinetti per settimane.,
line:20bdd4,"Mae: Ehi, Mr. Twigmeyer.",
line:4a0f21,Twigmeyer: Ciao.,
line:e6708c,Mae: Stai rastrelllando... ehm...,
line:1d9459,L'erba?,
line:e98b12,Il nulla?,
line:457d87,Twigmeyer: I prati sono come le persone.,
line:dbe5c2,Mae: e le piante sono come gli amici. O qualcosa del genere.,
line:7f99fc,Twigmeyer: Ok.,
line:19cfee,Mae: Aspetta. Come fanno i prati ad essere come le persone?,
line:65cafd,Twigmeyer: Tendono a sparire in estate e a ricomparire in autunno,
line:d3d02f,Twigmeyer: e non ci si vedrà per molto,
line:0a238c,Twigmeyer: quindi me ne sto qua fuori a godermi il loro fugace ritorno.,
line:eac70f,Mae: Uhm.,
line:9fec42,Mae: Hai un legame piuttosto stretto col tuo prato.,
line:9ceef1,"Twigmeyer: Ahah beh, mi lego più o meno a tutto ciò che posso.",
line:8d78d2,Mae: Dopo l'alluvione è rimasto a terra nel nostro giardino per 2 settimane,
line:540544,Mae: come una grande cosa... morta.,
line:dbd8e5,Mae: Ma poi l'hanno ritirato su,
line:e1b9a3,Mae: E la notte riuscivo a vederlo dalla finestra della mia stanza.,
line:453016,Mae: e in un certo senso lo trovavo inquietante.,
line:01ea1c,Mae: Il palo inquietante.,
line:095f86,Mae: L'amico non morto.,
line:147e8b,Mae: Che mi guardava dal marciapiede.,
line:48d069,Penderson: Bah!,
line:5c557b,Mae: Bah! \o/,
line:747a7c,Mae: _o_,
