LineCode,LineText,Comment
line:a6e81f,"Mae: Dopo aver annullato la parata, in primavera non accadeva più nulla di speciale.",
line:5bd347,Mae: Ma continuavamo a fare il cestino per la benedizione pasquale.,
line:a7b250,Mae: E mangiavamo dei brezel particolari. Quelli col cavolo che li benedivamo.,
line:563989,Mae: I brezel profani.,
line:7f6b61,Mae: Oddio. Mai visto dei fiori così finti.,
line:82f3a8,Mae: Mallard merita d'essere commemorato con qualcosa di meglio.,
line:d12356,Mae: Wow. E così tutta la roba è andata a finire qui.,
line:c8b1c1,Mae: Me la ricordo la parata di primavera. Era uno sballo.,
line:bc3c03,Mae: Fino all'anno in cui Mallard P. Bloomingro non ha spezzato la catena e si è messo correre verso Chris Evans.,
line:bf0db1,Mae: Poi hanno cancellato la parata.,
line:ea98ed,Mae: Codardi.,
line:15b76d,Mae: Non potevano rinchiudere Mallard. Mallard doveva essere libero.,
line:c50c9b,Mae: Né le corde né le povere gambe di Chris Evans potevano fermarlo.,
line:17de14,Mae: Chissà quei due che fine hanno fatto.,
line:52feaf,Mae: \o/ :( ,
line:198c7e,"Mae: {align=middle,width=1,locator=mallard locator}[shake=.06][size=1.5]OH SANTO CIELO!![/size][/shake] ",
line:b55b20,"Mae:{align=middle,width=6,locator=mallard locator}[shake=.08][size=1.8]M A L L A R D ! ! ![/size][/shake] ",
line:3eb90f,"Mae:{align=middle,locator=mallard locator}[shake=.03]COSA TI HANNO FATTO?[/shake][size=1.2][/size] ",
line:9dd613,Mae: _o_ :| ,
line:1184d3,Mae: È chiusa a chiave. Cacchio.,
line:ac4116,Mae: Questo posto è a rischio di incendio.,
line:805ac5,"Mae: Ridicolo, hanno messo un cartello che segnala una cosa chiaramente non vera.",
line:bd6a48,"Mae: Tornerò molto presto, uscita di sicurezza.",
line:7c3766,Mae: E ti farò un bel discorsetto.,
line:532678,Mae: Col mio stivale.,
line:b646b8,Mae: L'uscita peggiore di questo pianeta. Decisamente.,
line:1fecd6,"Mae: {align=middle,locator=mallard locator}Non dirò a nessuno che sei qui, Mallard.",
line:3c16db,Mae: Ma ripasserò. o/ :),
line:b54eb4,Mae: _o_ :|,
line:0ca937,"Mae: {align=middle,locator=mallard locator}Mallard P. Bloomingro.",
line:64904a,Mae: Una delle cose che preferivo in assoluto quando ero piccola.,
line:be29af,Mae: Ciò di cui andavo più fiera alla parata di primavera.,
line:433673,Mae: Cavolo. Questa è una tomba.,
line:c46241,Mae: Questa è la Tomba di Mallard.,
line:8888cd,"Mae: {align=middle,locator=mallard locator}Oh Mallard.",
line:23aa91,Mae: Abbandonato qui dalla Camera di Commercio di Possum Springs.,
line:a485d3,Mae: Dimenticato!,
line:b4d271,Mae: Ma io ti ho trovato.,
line:a13701,Mae: E so che sei qui.,
line:7606bd,Mae: E che sei ancora un incubo primaverile. ,
line:16edd5,"Mae: {align=middle,locator=mallard locator}Mallard, caro defunto Mallard.",
line:236a68,Mae: Quand'ero piccola eri il meglio di tutto.,
line:f7d870,Mae: Correvo alla parata di primavera per vederti.,
line:6c1ac8,Mae: Eri come un grande dinosauro beccoso.,
line:140ed2,"Mae: Mallard, tu resterai...",
line:8c3ca0,Mae: Fantastico per l'eternità. :),
line:82129f,Mae: :|,
