LineCode,LineText,Comment
line:a91c46,Mae: =_= ,
line:7d2e41,Mom: Ehi tesoro! Sei davvero orribile stamattina!,
line:d1e8cb,Mae: Già!,
line:421ca7,"Mom: Notte movimentata, eh?",
line:3839c1,"No, sono solo stanca.",
line:5b3138,È così evidente?,
line:88a2b0,"Mom: OK, allora riposati...",
line:4f5921,Mae: Lo farò.,
line:adbbfc,"Mom: No, ti ho detto che sei orribile solo perché ti voglio bene.",
line:7c298f,Mae: Grazie.,
line:c957d4,Mom: Se vuoi parlarmene...,
line:a7be0c,"È tutto a posto, mamma.",
line:431b84,Ho visto Cole a una festa nei boschi.,
line:a13e6c,Mom: Quello dell'ultimo anno?,
line:084494,"Mae: Già, si trovava a casa da scuola per il weekend.",
line:76f62b,Mom: Gli hai parlato?,
line:a38a0c,Sinceramente non mi ricordo.,
line:a1aba6,Più o meno. Diciamo. Non lo so.,
line:795bdd,"Mom: oh, tesoro.",
line:2deaf3,Mae: Va tutto bene.,
line:3521e4,Mae: non... ricapiterà di incontrarlo spesso.,
line:ccf9d2,"Mom: ok, meno male",
line:11f3bf,Mae: =_= ,
line:779063,Mae: Lasciamo stare.,
line:461811,"Mom: Beh, è uno stronzo, tesoro.",
line:a81870,"Mae: No, non lo è. O comunque non lo era.",
line:48f11e,Mae: Non lo so.,
line:746b03,Mae: Parliamo d'altro.,
line:c702d2,Mom: A quanto pare i lavori a Towne Centre sono quasi terminati.,
line:36c2ef,Mae: FINALMENTE. o_o :) ,
line:315e1a,"Mom: Già, hanno finito di sistemare gli scalini ",
line:9664c7,Mom: ...e le linee elettriche...,
line:74de51,Mom: Fantastico!,
line:2577a3,"Mom: Tesoro, *NON* voglio che tu ci salga sopra.",
line:66e269,Mae: =_= :| ,
line:1a4840,"Mae: Mamma, ho 20 anni.",
line:c92853,Mom: Giusto. Quindi se lo fai puoi finire in prigione.,
line:eee3b0,Nessuno è mai finito in galera per aver camminato su delle linee elettriche.,
line:be14a9,Shhh. Non mi prenderanno mai.,
line:4041ce,Mom: Succede.,
line:c6348b,"Mae: Sì, se la polizia non ha proprio nient'altro da fare.",
line:150607,Mom: ... ,
line:5b97a2,"Mae: Ok, hai ragione.",
line:65cb73,Mae: :) ,
line:fbed25,Mae: La zia Molly sarebbe ben felice di arrestarmi.,
line:fc13b0,Mom: Ahahah. Può darsi.,
line:28be9a,Mom: Se la zia Molly ti beccasse lassù,
line:9b53a1,Mom: non so cosa potrebbe farti.,
line:bd69c4,Mae: Te l'ho già detto che ieri l'ho vista qua fuori?,
line:b889fd,Mom: Davvero?,
line:ca46aa,"Mae: Sì, era strana e faceva la misteriosa.",
line:6af52d,Mae: Non lo so. Oggi è tutto così confuso...,
line:53c087,Mae: :| ,
line:ab0ae8,Mom: E comunque è pericoloso.,
line:9ac360,Mom: Ti ricordi Susie Kushner?,
line:dc2274,"Mae: Cavolo, ma', ovviamente no.",
line:6b3a81,Mae: Non ho mai sentito questa storia che mi avrai ripetuto almeno 1000 volte.,
line:5a5868,"Mom: Fritta, tesoro. Il giornale ha usato la parola FRITTA.",
line:fc0495,Mom: Adesso non può più pronunciare gli aggettivi.,
line:902150,Mom: Ha perso un'intera parte del linguaggio!,
line:124019,"Mae: Cavolo, mamma, è davvero terribile.",
line:1437ac,"Mom: Ecco, quello è esattamente il tipo di frase che Susie non può formulare.",
line:88564e,Mae: ...,
line:76f90c,Mom: Quindi oggi che fai?,
line:4acb75,Mae: Non lo so. Voglio chiedere a Gregg e a Bea cos'hanno intenzione di fare.,
line:32f30c,Mom: Farete qualcosa tutti insieme?,
line:32dfbb,Mae: Non lo so. Non penso che quei due escano troppo spesso,
line:1da3e1,Mae: da quando hanno rispolverato l'attrezzatura della nostra vecchia band.,
line:3a5c03,"Mom: Beh, le nostre vite hanno a disposizione così poche ore e così pochi giorni...",
line:edfc54,Mae: C'è per caso in giro qualche insetto che punge le persone e le trasforma in biscotti della fortuna?,
line:adcdd7,Mom: Le amicizie sono come le piante. ,
line:b4a65b,Mae: Interessante.,
line:e396fd,Mom: Devi annaffiarle se vuoi che crescano.,
line:391a0e,Mom: E ognuno di noi ha così tanta acqua da dare.,
line:67b668,Mae: Hai mai annaffiato una pianta?,
line:201bdc,"Mom: No, a quello ci pensa Dio.",
line:71622f,"Mae: ok, me ne vado.",
line:ac284c,"Mom: Ci vediamo dopo, tesoro!",
line:7ba33d,Mae: o_o :|,
line:4a0460,Mae: Che stai leggendo?,
line:7f59d6,"Mom: Un libro che racconta di un tizio cresciuto su un peschereccio,",
line:ad9d7d,"Mom: che vive di nascosto in una botte, mangia pesce crudo, granchi,",
line:b7013f,"Mom: polipi, calamari, aragoste, pellicani, albatri,",
line:0e78d5,Ho capito.,
line:6c7c45,wow!,
line:c668ec,"Mom: squali, delfini, cetrioli di mare,",
line:42a440,"Mom: alghe, sabbia, rocce,",
line:c9d369,"Mom: laminarie, che penso siano anche quelle delle alghe,",
line:8ab442,Hai reso bene il concetto.,
line:8abff4,wow!,
line:af0dbe,"Mom: cime, vele, una barca, il cordame,",
line:6ecfeb,"Mom: le scarpe del marinaio, i cappelli del marinaio, i pantaloni del marinaio",
line:f2df1b,"Mom: le magliette del marinaio, le mutande del marinaio (pulite)",
line:2df358,Mi è tutto molto chiaro.,
line:2e01b5,wow!,
line:b1fcde,"Mom: l'amo da pesca, reti da pesca, canne da pesca...",
line:8cafb9,"Mae: cavolo, ne ha mangiata di roba.",
line:e49e96,Mom: ...parecchi dugonghi e un lamantino.,
line:1afffd,"Mom: Che, non so se lo sai, ma sono animali diversi.",
line:c8fa18,Mae: Lo sapevo.,
line:c933f5,Mom: e questa è la lista di tutto ciò che ha mangiato.,
line:0b1ab8,Mae: Come si fa a mangiare un amo da pesca?,
line:60f79d,Mom: L'equipaggio pensava che la barca fosse infestata dai fantasmi!,
line:cf6d6f,Mom: Ma no. Era solo il Ragazzo della Botte.,
line:0abc25,Mae: Come si chiama il libro?,
line:15a04e,Mom: Ragazzo della Botte.,
line:875e30,Mae: Guarda caso mi è venuta voglia di bastoncini di pesce.,
line:1aa679,Mom: Idem! Dico a tuo padre di portarne un po' a casa.,
line:43547f,"Mom: Ti auguro una buona giornata, tesoro!",
