LineCode,LineText,Comment
line:5f8959,"Bea: Beh, questo dovrebbe andare bene.",
line:3c8486,Mae: Mi chiedo che tipo di-,
line:257319,Mae: \o/ :( ,
line:6c90cb,Mae: OH ANDIAMO! ,
line:bf9211,Mae: Non c'è nessuno al bancone! ,
line:ccaa6f,Bea: Oh wow.,
line:16efc5,Mae: o> ,
line:d1cede,Mae: [wave]EHILÀ?! C'È NESSUNO?![/wave] ,
line:e49d26,Mae: Cavolo.,
line:596732,Mae: :|,
line:f03736,Bea: Che tristezza questo posto.,
line:6a28b1,Mae: o_o,
line:bf53ed,Bea: Sembra un negozio che sta per chiudere perché lo Stato è fallito.,
line:610695,Mae: Che vuol dire?,
line:dac943,Mae: Succede quando crei un paese che però non funziona.,
line:2c1a2b,Mae: Ah... tipo il nostro?,
line:627f7c,Mae: :) =_=,
line:3d6ae8,Bea: EHIIIIIIIIII.,
line:c36599,Mae: o> ,
line:e25cfb,Mae: [hop]EHIIIIIIIIII.[/hop] ,
line:0657f9,Mae: o_o :| _o_ ,
line:8c270a,"Mae: Ehi senti, è quella band.",
line:1ed580,Bea: Che band?,
line:08e275,Mae: La conosciiii...,
line:70a6ab,Mae: questa canzone non puoi non ricordarla,
line:3a4e2b,Mae: il video musicale di questo pezzo l'han condiviso su internet un'infinità di volte,
line:59e98a,Bea: Non ho idea di cosa tu stia parlando.,
line:12cf32,Mae. Nel video c'era un cavallo strano.,
line:ccb230,Mae: {emote=horse_stand} ,
line:03dbb7,Bea: Ok adesso me lo ricordo. Nel video c'era un cavallo strano.,
line:f1f6cc,Mae: Oddio quel cavallo è tutto ciò che,
line:32d191,Mae: {emote=horse_dance1} ,
line:6c3a21,Bea: ricordo.,
line:0c3eff,Mae: {emote=horse_dance2} ,
line:a84ba8,Bea: Sì. Ci siamo ufficialmente ricordate di quel video. ,
line:76cfa2,Mae: Ce l'abbiamo fatta!,
line:47e033,Mae: Do un'occhiata per i fatti miei.,
line:8da6b7,Bea: Caaaaavolo.,
line:e78cd9,Bea: Che casino.,
line:45615c,Mae: Vediamo cos'hanno.,
line:51e4b0,Honky Tonk Armaggeddon. ,
line:3f3776,Clubbagurl: Rollin' Hard On That Eeee At This Rave Remixes ,
line:c4cc64,Bea: Wow. Quella roba l'ascolterei di sicuro.,
line:256370,Bea: Giusto per capire che cacchio vuol dire.,
line:c82532,Mae: Nella cover c'è un pick-up identico a quello di mio zio.,
line:9a4139,Mae: Ma questo è infuocato e vola in faccia a un drago.,
line:81668d,Bea: Ancora meglio.,
line:ab89bb,Bea: Caspita. Carino.,
line:948d6a,Mae: Secondo te che vuol dire?,
line:2dbdf6,Bea: Qualcuno è euforico perché starà fuori fino a tardi anche se ha scuola il giorno dopo.,
line:201ca6,Mae: Intendi uno che si è fatto di qualcosa?,
line:413cde,Bea: Uno che si è fatto di qualcosa.,
line:bd8ab1,Mae: Diamo un'occhiata senza Bea.,
line:b750c3,"Bea: Ok, dobbiamo andare.",
line:b7cf80,Bea: Stare qua dentro mi getta nella depressione.,
line:d3624e,Mae: Cazzo. Sì.,
line:1daf06,Mae: Persino quel luminoso scarabocchio gigante mi deprime.,
line:1c90a4,Bea: Il tempo è passato lasciandosi lo scarabocchio luminoso alle spalle.,
line:fbea1f,"Mae: Ok, sì, andiamo via.",
