LineCode,LineText,Comment
line:8543e6,Bruce: Possiamo stare qua fuori un attimino?,
line:72c0e5,Pastor: Si tratta del Click Clack!,
line:042092,Pastor: Non è un posto elegante. ,
line:051cad,Pastor: Verrai accolto a braccia aperte.,
line:e0c16f,Bruce: Lo so... Solo che...,
line:677065,Pastor: Bene. Possiamo stare qui tutto il tempo che ti pare.,
line:bd65a4,"Pastor: Anzi, direi fino alle 7:30. A quell'ora devo condurre un gruppo di preghiera.",
line:fdee90,"Pastor: Ehi, tu non sei Mae?",
line:b314ed,Mae: Sì?,
line:b8baec,Pastor: Sei la figlia di Candy!,
line:63f9a1,Mae: Sì.,
line:e439f8,Pastor: Sono il pastore Karen. Tua mamma lavora nella nostra chiesa. ,
line:d4d8c4,Mae: Già. È una reception-er professionista.,
line:55de0e,Pastor: Conosci Bruce?,
line:7e043d,Mae: Ehi Bruce.,
line:90784a,Bruce: Ciao.,
line:c72083,Pastor: Bruce non è mai stato al Click Clack!,
line:c75aa6,Davvero? Non è possibile.,
line:f97210,"Sarà una piacevole sorpresa, vedrai.",
line:40bd42,"Pastor: Hai sentito, Bruce? Che ti avevo detto?",
line:d66572,"Mae: Una sorpresa grassa e unta, molto unta.",
line:b8e79e,Mae: e con una cameriera rabbiosa.,
line:ae5fcf,Bruce: Questo luogo sembra fare proprio al caso mio.,
line:7e41c7,"Pastor: Bruce è nuovo in città, quindi non ha ancora avuto modo di passarci",
line:9ef439,Mae: Abiti da queste parti?,
line:e3bf10,Bruce: uhm...,
line:b0b9ed,"Pastor: Bruce è un nostro vicino, abita nei pressi della chiesa.",
line:7546e0,Bruce: ...Sono accampato lungo la strada...,
line:b4e95e,Mae: ah,
line:546f7e,Bruce: nei boschi.,
line:d4e95a,Pastor: Ma non starà lì per molto! Stiamo cercando un'altra sistemazione prima dell'arrivo dell'inverno.,
line:59209c,"Pastor: Ci sarà da rimboccarsi le maniche, ma il Signore troverà una soluzione. ",
line:2b4f8f,Bruce: ...e sicuramente starà pensando che è un bel casino andare al...,
line:91bc98,"Pastor: Ascolta, nessuno ha detto che amare il proprio vicino sarebbe stato facile.",
line:6248f3,Pastor: E tu adesso sei il nostro vicino.,
line:d2a077,Bruce: Lo apprezzo molto.,
line:4dc41e,"Pastor: A volte c'è bisogno di un po' d'aiuto, Bruce.",
line:3a1ac8,Pastor: Non c'è da vergognarsi nei momenti di difficoltà.,
line:e40af4,"Mae: Beh, è stato bello conoscervi!",
line:bdf30a,Pastor: Vieni a trovarmi in chiesa qualche volta!,
line:0abf8d,Mae: Lo farò! Tanto dovrò comunque passare a salutare mia mamma.,
line:9c52a8,"Mae: Ci vediamo dopo, Bruce!",
line:ce519f,"Bruce: ok. È stato bello conoscerti, Mary",
line:f2cece,Mae: Mae. Mae Borowski.,
line:3093c9,Bruce: Bruce. Solo Bruce.,
line:4983fe,Pastor: Pastore. Pastore Karen.,
line:4b43e2,Mae: state aspettando qualcuno?,
line:eb5ed0,Bruce: no,
line:3f8673,Pastor: Bruce è un po' fifone.,
line:26d878,Bruce: È molto tempo che non metto piede in un ristorante,
line:f0aefd,Pastor: Click Clack è un ottimo punto di partenza!,
line:0c07a8,"Bruce: ...è come quando si cade da cavallo, a volte bisogna rimettersi in sella...",
line:243cf6,Mae: Magari là dentro a tua insaputa ti verrà servita carne di cavallo.,
line:dbd361,Pastor: Mae...,
line:2584ac,Mae: È vero!,
line:cc5c47,Bruce: Ahahah.,
