LineCode,LineText,Comment
line:7aa783,"URevClerk: Signorina, posso aiutarti?",
line:6ac045,"Mae: [shake=.01]AHAHAHAHAHAHAH NO, NON C'È BISOGNO, GRAZIE .[/shake] ",
line:bf1234,URevClerk: Stai cercando qualcosa di preciso? ,
line:deb52a,"Mae: [shake=.03]AHAHAHAH NO, STO SOLO GUARDANDO, GRAZIE[/shake] ",
line:b20035,Bea: *Se non sbaglio avevi detto che se ti avesse guardato saresti rimasta immobile*,
line:10c77a,Mae: Smettila di giudicarmi su tutto!,
line:64a29c,URevClerk: Mi sembra proprio che tu abbia bisogno di una mano.,
line:5d366c,Mae: [shake=.05]HAAHAHAAAHAHAAA VA TUTTO BENE[/shake] ,
line:79dd78,URevClerk: Uhm... ,
line:0a7cc7,Mae: [shake=.06]STO SOLO GUARDANDO AHAHAHAHAHAH[/shake] ,
line:846288,Bea: *Quindi vuoi mandare all'aria tutto il piano "immobile quando ti guarda?"*,
line:f04ecc,"Mae: STA' ZITTA, MI STAI DECONCENTRANDO",
line:690c52,URevClerk: Sicura di non- ,
line:92ef9e,Mae: [shake=.08]EHI! AHAHAHAH[/shake] ,
line:af9c0f,"URevClerk: Signorina, cosa c'è di così divertente? ",
line:3eee96,Mae: [shake=.02]AHAHAH[/shake]  ,
line:3efdec,URevClerk: Vuoi che- ,
line:c1c740,Mae: [shake=.1]AHAHAHAH EHI[/shake] ,
line:b5a3a4,URevClerk: Ehi? ,
line:0b1859,Bea: EHI.,
line:b5b989,Bea: HAI FINITO DI...,
line:936c23,SHHHH,
line:8cc399,"Uhm, sì, certo",
line:91284e,Mae: BEEEEENE. :),
line:b2a924,Bea: Allooora... vuoi farlo davvero?,
line:80d06b,Mae: SHHH. SII NATURALE. ,
line:743f1d,Rubare nei negozi non è poi chissà che.,
line:4ca5df,Non è la prima volta che commetto un crimine.,
line:e793d0,Bea: Credo si possa finire in prigione per una cosa del genere.,
line:03bcaf,Mae: Non intendevo quello. Intendevo dire che è facile.,
line:56dbf7,Bea: Che altri reati hai commesso?,
line:3f0abc,Mae: Taccheggio.,
line:27fdc6,Mae: Vandalismo.,
line:867ee9,Mae: Pirateria.,
line:100cbe,Mae: Adesso ancora taccheggio.,
line:1fffae,"Mae: Commetto solo reati semplici, comunque.",
line:effb89,Bea: Come fa un'idea così stupida ad essere semplice?,
line:901ac0,Mae: I nostri occhi si sono evoluti per notare ogni movimento.,
line:40dee5,Bea: Come quelli dei dinosauri?,
line:1d2bde,Mae: I dinosauri vedevano solo quello che si muoveva!,
line:c95f18,"Bea: Aspetta, quello non era il tyrann... lascia stare.",
line:54c672,Mae: Quindi se riesci a restare perfettamente immobile quando la commessa ti guarda...,
line:12d240,"Bea: Cioè, a restare ferma come un sasso nel momento in cui quella guarda dalla nostra parte...",
line:da21cf,Bea: anche se l'oggetto è quasi nella tasca...,
line:969d75,Bea: il trucco funzionerà perché siamo come i... dinosauri?,
line:d8ab4c,Mae: Proprio. Come. Loro.,
line:6027a3,"Bea: Fingerò di non conoscerti fino a quando non avrai finito, ok?",
line:782b19,"Mae: STA' ZITTA, ",
line:b15b8d,Mae: È UN MOMENTO DI MERDA ,
line:907ed9,Mae: ME NE VADO,
