LineCode,LineText,Comment
line:c46115,"Selmers: Ehi, Mae.",
line:85deca,"Mae: Ehi, Selmers. o/",
line:662874,Mae: _o_,
line:fd025f,Selmers: Eri tu quella che ho visto con in mano un diario l'altro giorno?,
line:b6b677,"Mae: Ah, sì. Ordini del dottore.",
line:481ec4,"Selmers: Capisco, il dottor Hank ne sta facendo fare uno anche a me.",
line:490531,"Mae: Ah ok, anche tu avevi problemi di gestione della rabbia?",
line:5ea56e,Selmers: Allo Snack Falcon ho rubato uno sciroppo per la tosse a base di codeina.,
line:e3d192,Mae: Oh cazzo.,
line:0ad905,Mae: Quindi il dottor Hank crede che coi diari si possa curare tutto.,
line:b8ea69,Mae: Con te sta funzionando? _o_,
line:431c2c,Selmers: No. Ma sono diventata una grande poetessa. ,
line:f3951a,Selmers: Vuoi che te lo dimostri?,
line:ab63c6,"No grazie, devo trovare Gregg.",
line:42b42c,Con piacere!,
line:8d05ba,"Selmers: Ok, magari un'altra volta.",
line:e34fb1,Mae: Sicuramente. :),
line:3b7f05,Mae: :|,
line:35fdb5,Selmers: Il mio cuore è pieno,
line:3a12c9,Selmers: di freddezza,
line:ea95fe,Selmers: ma quando ti vedo,
line:bb9100,Selmers: provo tanta gioiezza.,
line:4dadfe,"Mae: Wow, che poesia stupenda. :) ",
line:55703b,Selmers: Quando provo,
line:987b2d,Selmers: tristità,
line:c55b1d,Selmers: ho solo bisogno,
line:35c06d,Selmers: della tua presentità,
line:8e10e6,Mae: Davvero romantica.,
line:63c081,Selmers: È dedicata al mio cavallo.,
line:c8e1b1,Mae: :| ,
line:34e3a6,Mae: Ah.,
line:4f7c2e,Selmers: Siamo solo amici.,
line:6c37ec,Selmers: Mr. Chazokov è sul tetto un'altra volta.,
line:95ecac,Selmers: Questa è la volta buona che si spezza il collo.,
line:d5bda2,"Selmers: Ehi, Mae.",
line:343e3a,"Mae: Ehi, Selmers. o/",
line:b339f5,Mae: _o_,
line:a6b381,Selmers: Eri tu quella che ho visto con in mano un diario l'altro giorno?,
line:4f9263,"Mae: Ah, sì. Ordini del dottore.",
line:863c8e,"Selmers: Capisco, il dottor Hank ne sta facendo fare uno anche a me.",
line:9f000a,"Mae: Ah ok, anche tu avevi problemi di gestione della rabbia?",
line:e698a5,Selmers: Alla farmacia Ham Panther ho rubato degli antidolorifici. ,
line:661cb8,Mae: Oh cazzo.,
line:3ed789,Mae: Quindi il dottor Hank crede che coi diari si possa curare tutto.,
line:436149,Mae: Con te sta funzionando? _o_ ,
line:6a6a1a,Selmers: No. Ma il Rehab e il programma di recupero invece sì.,
line:08117b,Selmers: E sono diventata una grande poetessa.,
line:5a8bc0,Selmers: Vuoi che te lo dimostri?,
line:29e7ea, Sì,
line:ca75cc, No,
line:609da0,Selmers: Il mio cuore è pieno,
line:4a0426,Selmers: di freddezza,
line:f9fa04,Selmers: ma quando ti vedo,
line:c88b54,Selmers: provo tanta gioiezza.,
line:f061f4,"Mae: Wow, che poesia stupenda. :) ",
line:c094ca,Selmers: Quando provo,
line:874bc9,Selmers: tristità,
line:5289b8,Selmers: ho solo bisogno,
line:db2130,Selmers: della tua presentità,
line:75fd92,Mae: Davvero romantica.,
line:015755,Selmers: È dedicata al mio cavallo.,
line:a7c41e,Mae: :| ,
line:b9ed64,Mae: Ah. ,
line:e5b1eb,Selmers: Siamo solo amici.,
line:fa082b,"Selmers: Ok, magari un'altra volta.",
line:55d9f0,Mae: Sicuramente. :),
line:18c01e,Mae: :| ,
line:d55e17,Selmers: Mr. Chazokov è sul tetto un'altra volta.,
line:14f10c,Selmers: Questa è la volta buona che si spezza il collo.,
