LineCode,LineText,Comment
line:909994,Mae: Credo di averne trovata una.,
line:0827b6,Chazokov: Fammi vedere.,
line:f7c9b5,Chazokov: Ah sì. Castys.,
line:9422ac,Cos'è Castys?,
line:e4244b,È proprio quella.,
line:63a943,Chazokov: La conoscevi già?,
line:28b7f7,Mae: No.,
line:e8bdf0,Chazokov: Questa stella racconta la storia di una donna che costruì una torre per salire in paradiso.,
line:a5d5ab,Chazokov: E per questo gli dèi la fecero cadere in fondo al mare.,
line:eb71e2,"Mae: Cazzo, che storia assurda.",
line:e1c648,Chazokov: Ma perfino negli abissi si rifiutò di morire.,
line:08d014,"Mae:[shake=.01]BRAVA, HA FATTO BENE![/shake] ",
line:3830cb,"Chazokov: Ah, anche tu non morirai mai?",
line:10b838,"Un giorno sì, credo.",
line:648731,Non lo so.,
line:f15b59,[shake=.05]MAI.[/shake] ,
line:125e56,Chazokov: Puahahah! ,
line:baf44b,Chazokov: E sfiderai gli dèi di Castys?,
line:fae4ed,Chazokov: Gli dèi in queste storie non sono altro che la rappresentazione,
line:1aefe0,Chazokov: di ciò che non possiamo controllare.,
line:d5f55f,"Chazokov: Come le alluvioni, il cancro, o cose del genere.",
line:696e3a,Mae: Sono mali che io combatterò.,
line:d6e440,Chazokov: Questa sì che è una risposta.,
line:5da86e,Mae: Credo di averne trovata una.,
line:9d2464,Chazokov: Fammi vedere.,
line:7aced8,Chazokov: Ah sì. Dohr L'Assassino.,
line:b91366,"Mae: Ok, sentiamo.",
line:fc471b,Chazokov: Dohr attraversò la processione dedicata a Behrn Il Re.,
line:344272,"Chazokov: Dohr stava in silenzio e non diceva nulla, e per il re questo fu un oltraggio.",
line:735ceb,Perché?,
line:e6c552,Cavolo.,
line:7ae9cd,Chazokov: La nobiltà è strana.,
line:ac93c3,Mae: Quindi cos'è successo?,
line:27f339,"Chazokov: Behrn insultò Dohr, la sua famiglia, il suo villaggio, eccetera",
line:c4d6a6,Chazokov: fino a quando non arrivò ad insultare i suoi polli.,
line:905377,Caspita.,
line:cd9168,I polli sono tremendi.,
line:a19dc0,"Mae: Bestie strane, orribili e rabbiose.",
line:a9ec9a,Mae: Si beccano gli occhi a vicenda!,
line:00173d,Chazokov: Sono deliziosi.,
line:a029ba,Mae: Meritano di essere deliziosi.,
line:4c25b5,Mae: Quindi è per questo che Dohr l'ha ucciso?,
line:a9a682,Chazokov: Ecco,
line:80c609,Chazokov: Prima di tutto Dohr uccise i polli di Behrn,
line:b42663,Chazokov: poi sterminò il villaggio dei suoi antenati,
line:056f4c,Chazokov: poi la sua famiglia,
line:8fb487,Mae: Porco giuda.,
line:c33a1b,Chazokov: E quando giunse da Behrn,
line:828164,Chazokov: il re rimase in silenzio.,
line:15e138,Mae: questo tipo me lo tatuerò addosso.,
line:b04272,Chazokov: Per te Dohr è un eroe?,
line:98592b,Assolutamente.,
line:74c743,Non lo so.,
line:f40d5c,Mae: ma non credo importi alla fine.,
line:4fc565,Mae: Perché se è una vita che ti dicono che non sei nessuno,
line:272b5a,Mae: Una storia con un finale del genere risulta davvero fantastica.,
line:314376,"Chazokov: Beh, si tratta di una storia vera e delle persone sono realmente morte",
line:9a2146,Chazokov: E tu dovresti vergognarti.,
line:f6fe47,Mae: Sul serio?,
line:695572,Chazokov: Puahahah. ,
line:aa95dc,Chazokov: Abbiamo visto le due stelle che si potevano vedere oggi.,
line:2c70db,Mae: Ah davvero?,
line:b47b7d,Chazokov: Vanno e vengono velocemente.,
line:3278bf,Mae: [shake=.1]PORCA VACCA i miei occhi!![/shake] ,
line:04ac8f,Chazokov: Ah - vuoi inserire il filtro così... ,
line:66dc7b,Mae: [shake=.05]CRISTO!![/shake] ,
line:5c3c50,Chazokov: Il sole è luminoso! Ti acceca! ,
line:103d91,Mae: Quando pensavi di dirmelo?,
line:4be191,Chazokov: L'ho appena fatto!,
