LineCode,LineText,Comment
line:d433ba,Mae: Queste dovrebbero essere stazioni metereologiche?,
line:23c9f1,Mae: I Pioneer Scouts le hanno costruite quando non erano troppo presi a giocare a football,
line:70c096,Mae: o a imparare il significato della parola [wave]VIRILITÀ[/wave].,
line:1107b1,Mae: Questi sono di granlunga i mulini in miniatura più virili che abbia mai visto.,
line:facdaf,TZEmployee2: Caffè.,
line:7ac626,Donna: Sigarette.,
line:89cfa9,Mae:{locator=monument}Chissà se Gregg ha ancora quell'elmo della prima guerra mondiale...,
line:bfc7b8,Mae:{locator=monument}Col buco di un proiettile sopra...,
line:561e36,Mae:{locator=monument}Non sono mai stata in guerra.,
line:a9820b,"Mae:{locator=monument}Non che il reclutatore non ci abbia provato, comunque.",
line:97b518,Mae:{locator=monument}Di brutto.,
line:eb1a51,Donna: Cosa?,
line:f5d94a,TZEmployee2: Ed esattamente dove hai intenzione di andare? ,
line:79c5b7,Donna: Non lo so. Ham Panther? ,
line:1e6139,"TZEmployee2: Ma, tesoro, lì la paga è minima.",
line:c31a79,TZEmployee2: E ho sentito dire che sono degli avvoltoi..,
line:4e6c26,Donna: *QUESTO* luogo è un avvoltoio.,
line:06228a,Donna: Un'altra chiamata in arrivo non penso che riuscirei a sopportarla.,
line:b88667,Donna: A volte mi sveglio all'improvviso perché sento quel *BING* squillarmi nella testa.,
line:d82dd4,TZEmployee2: Ultimamente prendo dei sonniferi. Fanno miracoli. ,
line:9dab4c,Donna: Non è normale il fatto che dobbiamo drogarci per riuscire a riposare dopo una lunga giornata di lavoro!,
line:5f1001,"TZEmployee2: Beh, Ham Panther non ti darà nessun extra.",
line:337022,TZEmployee2: Non hanno nemmeno una leaderboard coi nomi degli impiegati migliori.,
line:aa9f78,Donna: Ma niente chiamate.,
line:409727,Donna: Niente vendite.,
line:558160,Donna: Non dovrei restare in attesa di quel *BING*.,
line:73b8de,"TZEmployee2: Non lo so, tesoro... ",
line:97aa38,TZEmployee2: Magari oggi sali in graduatoria e finisci sulla leaderboard,
line:772dc2,TZEmployee2: E poi vediamo come ti senti?,
line:7c1979,Donna: Magari. Ma non cambierebbe nulla. ,
line:4d49e8,"Mae: Ehi, Bea.",
line:a932fc,Bea: Yyyyo. ,
line:7f76f5,Mae: Scusa per l'altra sera.,
line:775889,Mae: La medicina per il raffreddore mi stordisce.,
line:ae4daa,Mae: Quindi davvero non so cosa mi aspettavo che accadesse.,
line:f21747,Bea: Scusa per quello che ti ho detto.,
line:3f81dc,"Mae: Guarda, sinceramente non ricordo granché.",
line:87517a,Mae: Quindi chi se ne importa.,
line:79f993,Bea: Evviva l'alcol.,
line:794735,Mae: Il nuovo motto in città.,
line:c5f5bc,Mae: Dopo andiamo a far le prove con la band?,
line:6763a1,Bea: Ahah. Sì.,
line:db253f,Mae: Mi sorprende il fatto che suoniamo ancora.,
line:f09f3b,Mae: Alle superiori era già tanto poterci definire una band.,
line:5f492f,Bea: Eh. È un vero spasso. E adesso mi tocca anche vedermi con Angus.,
line:7e3b21,Mae: Com'è che sei entrata nella band?,
line:b4bc92,"Bea: Quando Casey ha cambiato città, Angus mi ha detto che Gregg era molto triste.",
line:b2ab24,Bea: Allora mi sono offerta di essere la nuova batterista.,
line:961a43,"Mae: Beh, "batterista"...",
line:6f5e46,"Mae: Ti ricordo che è un computer portatile, Bea.",
line:b64069,"Bea: Ma certo, Mae. Certo.",
line:60b9f0,Mae: Ehi gatto.,
line:a3b5e9,Mae: Come sei arrivato fin quassù?,
line:380fbd,Mae: Tutti questi sforzi solo per dormire?,
line:ae3645,Mae: Mai sono riuscita a immedesimarmi così tanto in un animale in vita mia.,
line:7523b8,"Mae: Qui, ai confini del mondo:",
line:f059cf,Mae: un gatto che dorme.,
line:c6211d,Mae: Ehi gatto.,
line:d07089,Mae: Quand'ero piccola non ho mai pensato di poter salire quassù.,
line:a54c4e,Mae: E tu sei tipo due volte più piccolo di me quand'ero piccola.,
line:070d48,Mae: Hai vinto tutto.,
line:f22571,Mae: Ci vogliono tanti sostenitori per tenere aperta una baracca.,
line:4899f5,Mae: È già un miracolo il fatto che sia sopravvissuta così a lungo.,
line:da04bc,Mae: Non penso che Gregg abbia ricevuto il permesso per fare le prove con la band qui dentro.,
line:5c3822,Mae: Ci sfratteranno sicuro.,
line:ee821c,Mae: E la baracca tornerà ad essere avvolta nel silenzio.,
line:6ba35b,Mae: Oggi non ho alcuna intenzione di salire queste scale. Non devo andare in chiesa.,
line:7e80c0,"Mae: Niente dèi, niente maestri, niente fottute scale per oggi, grazie.",
