LineCode,LineText,Comment
line:cb780d,Mae: Non penso che Angus stia lavorando oggi.,
line:2c49f2,Mae: E poi chi è che va in una videoteca?,
line:83989d,Mae: Chissà se è frequentata solo da pazzi pervertiti interessati alla sezione per adulti.,
line:c71aac,Mae: Pervertito: colui che pretende di farsi consegnare materiale porno da distributori antiquati.,
line:8c28f6,"Mae: Voglio dire, tutti noi utilizziamo macchine moderne come fanno le persone evolute.",
line:3f3f31,Mae: Il nonno una volta mi ha letto una storia,
line:123818,Mae: di un marinaio la cui barca stava affondando,
line:3647ab,Mae: e lui è salito su un... palo?... della barca,
line:83eac1,Mae: e la barca si è arenata su dei coralli o qualcosa del genere prima di affondare completamente,
line:42d0e7,Mae: e lui è rimasto bloccato sul palo della barca per una settimana,
line:4b5649,Mae: a guardare gli squali che gli giravano attorno.,
line:c25c05,Mae: Albero! Si chiama albero!,
line:a0c4ce,Mae: suona meglio rispetto a palo della barca.,
line:c10dba,Mae: Quel tipo ha mangiato gabbiani e bevuto pioggia dell'uragano. ,
line:018ff4,Mae: Ha visto i fantasmi degli abissi.,
line:07cf7c,Mae: Un tipo davvero fico.,
line:c5d910,Mae: Potrei farmi una camminata fino al Food Donkey abbandonato.,
line:ec8ff7,Mae: ...,
line:057d12,Mae: Non mi farò una camminata fino al Food Donkey abbandonato.,
