LineCode,LineText,Comment
line:476738,"Ehi, sono appena tornata in città",
line:c92244,e la cosa che mi è mancata di più è-,
line:3929f1,EHI!,
line:01bd78,Cook: MI RICORDO DI TE!,
line:7960be,Mae: :) o/,
line:b6e0f1,Mae: Ciao!,
line:d4ad44,Cook: LADRA!,
line:7239ed,Mae: :| _o_,
line:d3d04a,"Mae: Oh, ANDIAMO...",
line:1ec9ab,Mae: È successo anni fa!,
line:012082,"Cook: LADRA UNA VOLTA, LADRA PER SEMPRE.",
line:946718,"Mae: Va bene, sai che ti dico? =_=",
line:70c713,Non sono una ladra! Ritira quello che hai detto!,
line:1297c6,Questo non è nemmeno un ristorante!,
line:363bd2,Mae: Ho rubato in posti migliori di questo! o_o,
line:e73316,Mae: Non mi abbasserei mai a rubare in un luogo simile!,
line:69d051,"Cook: SEE, CERTO...",
line:ebc5a8,Cook: VA' A BUTTARTI NEL FIUME.,
line:ef25bc,Mae: È un chiosco merdoso in una buca!,
line:d490f9,Cook: Questo esercizio è in attività da 50 anni!,
line:6476b7,Mae: 50 SCHIFOSI ANNI IN UNA BUCA! o_o,
line:25d7a4,Mae: Sai cos'altro è in un buca da 50 anni?,
line:77ee9a,Mae: \o/ :(,
line:f138f7,Mae: LA GENTE MORTA NEGLI ANNI '60!,
line:ad88e7,"Cook: Senza rispetto! Senza rispetto, questa!",
line:7acad4,Mae: TIENITI PURE I TUOI SPORCHI BREZEL,
line:0e1483,Mae: E I TUOI PIEROGI PUZZOLENTI,
line:048780,Mae: _o_ :|,
line:45ff8d,"Cook: SEE, CERTO...",
line:f0957c,Cook: VA' A BUTTARTI NEL FIUME.,
line:40ca79,Mae: {emote=exclamation} ,
line:142bac,Mae: PORCA PUTTANA.,
line:6fa82b,Mae: I tizi sul muro! Qualcuno li ha imbrattati!,
line:e90509,Mae: Chi... è... stato?,
line:243c22,Mae: Perché l'han fatto?,
line:b55e7b,Fisherman: Tanti minatori giovani e vecchi,
line:924e1c,Fisherman: Con la casa nel cuor e il carbone nei polmoni,
line:2a8c79,Fisherman: Venivano portati dai venditori,
line:0a37df,Fisherman: Fino alla miniera e poi indietro,
line:1039bb,"Fisherman: Ma la colata di fango, l'alluvion e la tempesta",
line:b77bb1,Fisherman: Impedirono ai marinai di andar a pes...ta,
line:cd0544,Mae: "Pesta?" :),
line:3e67cd,Fisherman: Per favore non ascoltarmi.,
line:177dff,Mae: :| ,
line:82ca3e,Mae: {locator=TrolleyWonder}È incredibile pensare che queste cose una volta erano in attività.,
line:ae69ce,Mae:{locator=TrolleyWonder}È anche incredibile il fatto che siano ancora qui.,
line:da8f35,Mae:{locator=TrolleyWonder}Non credo ci sia modo di portarle fuori.,
line:afc43f,Mae:{locator=TrolleyWonder}Molto tempo fa questo posto doveva servire a qualcosa.,
line:6a88fc,Mae: Non riesco a credere che questo luogo sia rimasto aperto.,
line:d9daa3,"Mae: Dev'esserci un motivo storico, suppongo.",
line:97bfa3,Mae: Penso sia semplicemente dovuto al fatto che ai vecchi piace il chiosco dei pierogi.,
line:1c09d3,Mae: Mai sottovalutare la capacità dei vecchi di ottenere finanziamenti statali.,
line:d6b353,Council1: È un vero peccato,
line:17fefd,Council1: Aveva un valore storico!,
line:a1065b,Council1: Senza di esso non so se c'è motivo di tenere questo posto aperto...,
line:218f93,Council1: {emote=cloud_rain} ,
line:5133aa,"Council1: Perché questo murale ha un valore storico, Molly!",
line:47f0f9,Council1: Com'è successo?,
line:543490,"Molly: Beh, durante la notte",
line:fe95e9,Molly: qualcuno ha utilizzato delle pinze per aprire il cancello,
line:a8cc6d,Molly: ed è sceso quaggiù.,
line:d025c4,"Council: Cos'hanno utilizzato per dipingere, un rullo? ",
line:2c3a5f,Molly: Così sembra.,
line:e33acd,Council1: C'è scritto che vogliono far saltare in aria Poss... qualcosa.,
line:ddff32,Molly: Probabilmente qualche ragazzino,
line:ecf4d6,Molly: ha visto una delle vecchie scritte in cui dicevano che avrebbero fatto saltare in aria Possum Springs,
line:24beed,"e mentre la copiava dev'essersi stancato, lasciando il messaggio a metà.",
line:87c20a,Council1: Ci troviamo davanti a un atto terroristico e dobbiamo comportarci di conseguenza.,
line:ee5ba3,"Molly: Come, scusa?",
line:80dd56,Council1: Questo murale ha un valore storico!,
line:54e4fa,"Molly: D'accordo, prenderò tutti... ehm... i terroristi che vedo.",
line:3f43d7,Council1: Prendi tutti i ragazzini stronzi o girovaghi che trovi in città,
line:e18dc9,Council1: dai un'occhiata nei pressi del Food Donkey abbandonato.,
line:deec01,Council1: è lì che scendono dal treno,
line:1d1548,Molly: Considerami già sul posto.,
line:977172,Council1: Molly.,
line:e76fd6,Molly: Sì?,
line:60709a,Council1: Trova i responsabili.,
line:6e6eb9,Molly: Ok.,
line:ff1f19,Council1: Voglio vederli appesi per il collo.,
line:a03b9f,Molly: Penso che al massimo si beccheranno una multa e qualche giorno di prigione.,
line:5e5044,Molly: ma ok. Quando avremo scoperto qualcosa ti farò sapere.,
