LineCode,LineText,Comment
line:99fe84,"Mae: Ok, mentre fai quello che devi fare io ti copro.",
line:6c24ea,Bea: Che vuoi dire?,
line:58d5d9,Mae: Distraggo la commessa. Sarà un giochetto.,
line:24c0a6,"Bea: Ok, devo ammettere che nell'attirare l'attenzione su di te hai un vero talento.",
line:3d7858,Mae: La mia specialità sono i crimini.,
line:57a92d,Bea: E se mi beccano?,
line:47fead,Mae: Non succederà. Mi metterò a gridare se necessario.,
line:02ac8f,Bea: E questo dovrebbe servire a qualcosa?,
line:642ad0,Mae: Andiamo.,
line:4a5d22,"Bea: Ok, ma se le cose vanno male do la colpa a te.",
line:d657e9,Mae: Benvenuta nel club.,
line:0ba1f5,Mae: Uhmmm...,
line:676d4d,Bea: Wow. Era un po' che non vedevo fibbie per pantaloni.,
line:e755ed,Bea: O almeno non così trendy.,
line:a0cae4,Bea: Mike al negozio ne ha una con un serpente a sonagli che guida un camion.,
line:5b2cff,Mae: ok. Ce la posso fare.,
line:397ecd,Bea: Fare cosa?,
line:95d568,Mae: Coprimi. Ne prendo una.,
line:89aae1,Bea: COSA?! NO!!,
line:52cd2b,Mae: SHHHH!!!,
line:c1689b,Bea: *NON* lo fare.,
line:e9aba5,Mae: Non ce l'ho fatta.,
line:84f5a8,Bea: Ok hai finito?,
line:587bcb,Mae: oooooooooh yeah,
line:3a7c09,Bea: Stai zitta e usciamo di qui.,
line:f7c752,Mae: Ehiiiiiiii.,
line:fae9b5,URevClerk: Ehm....,
line:0994e8,Mae: Ho una domanda.,
line:3a1fbc,URevClerk: Sulle magliette c'è uno sconto del 20 percento.,
line:f0c310,"Mae: Sì, ho visto. Mi chiedevo un'altra cosa...",
line:d98240,URevClerk: Ok.,
line:551577,Mae: Il nome di questo negozio...,
line:5e5a4a,URevClerk: Sì?,
line:4a7c28,Mae: Ahah. Questa domanda devono fartela spesso,
line:362740,URevClerk: Mettimi alla prova.,
line:c01574,"Sta per YOU-Revolution, o YOU ARE-Revolution",
line:8a64f4,Allora... a che ore finisci di lavorare?,
line:b93e8c,"URevClerk: Sai, nessuno me lo chiede mai, ma io ci penso SEMPRE.",
line:af7c7d,Mae: Immagino!,
line:cd15bf,URevClerk: *Oddio*,
line:3fc35c,URevClerk: Sai qual è il nome ufficiale della società registrato sui nostri assegni?,
line:ebaf14,URevClerk: UREVOLUTION: RADICAL “UTH” CULTURE UPRISING INC ,
line:1cb285,È davvero stupido.,
line:0a87d7,"È figo lavorare qui, eh?",
line:68ebee,"URevClerk: Sinceramente no. Allora, volevi comprare qualcosa?",
line:d5ebd4,Mae: Uhm... ok...,
line:777eb3,URevClerk: Tutto bene?,
line:35bf5b,Rubi mai qualcosa di figo?,
line:f6a68d,Questo posto è molto cool e tu dovresti essere felice anche solo di avere un lavoro.,
line:8c42d7,"URevClerk: Oddio, LO SO.",
line:26f1cd,"URevClerk: Voglio dire, cosa c'è di meglio di un negozio che vende cose fighe ai ragazzi?",
line:d89951,Mae: Già. I ragazzi vanno matti per questa roba.,
line:757437,URevClerk: Anche lo sconto dipendenti è fantastico.,
line:4d6e74,Mae: Una volta avevo un lavoro.,
line:9ce7a9,Mae: Avevo il 100 percento di sconto.,
line:b052de,URevClerk: Uhm.,
