LineCode,LineText,Comment
line:6f982a,Mae: Ricordo ancora quando la famiglia di Bea aveva una casa e non un minuscolo e deprimente appartamento.,
line:3fa2d1,Mae:{locator=applebaum}Arnold Applebaum. ,
line:aaa95f,Mae:{locator=applebaum}Tipo mille anni fa era il proprietario di una società mineraria.,
line:58c248,Mae:{locator=applebaum}Papà ha detto che era un truffatore che odiava i sindacati.,
line:c853d5,Mae:{locator=applebaum}Ma abbiamo ottenuto una biblioteca!,
line:c0bd1b,Mae:{locator=applebaum}...da cui hanno ricavato degli appartamenti!,
line:1801df,Mae:{locator=applebaum}Uhm. Non credo di aver mai letto questa targa prima d'ora. ,
line:b726c8,Mae:{locator=applebaum}Arnold A. Applebaum. ,
line:a61066,"Mae:{locator=applebaum}"Padre di tutti i lavoratori," ",
line:bb8651,"Mae:{locator=applebaum}"nonno dei loro figli," ",
line:5d1f8a,Mae:{locator=applebaum}"bisnonno dei figli dei loro figli..." ,
line:68839c,Mae:{locator=applebaum}Va avanti così per un po'.,
line:d374b1,Mae:{locator=applebaum}Eretta nel 1910. ,
line:f1b7f5,Mae:{locator=applebaum}Bea ha questo tizio proprio davanti alla sua finestra.,
line:94720b,Mae:{locator=applebaum}Costantemente.,
line:ca006b,Mae:{locator=applebaum}Arnold Stalkerbaum. ,
line:aabc92,Mae: Ricordo ancora quando la famiglia di Bea aveva una casa e non un minuscolo e deprimente appartamento.,
line:cbbe39,Varney: Se cade in una delle mie finestre non esiterò ad intraprendere un'azione legale.,
line:53d90d,Mae: Chi? ,
line:d1ba8c,"Varney: Lui! Lassù, sul tetto della casa a fianco!",
line:0f8e1f,Mae: <o> ,
line:8d9af5,Mae: Se da quel tetto cade in una finestra,
line:e73b60,Mae: -_- ,
line:ddfcac,Mae: ti toccherà scegliere quale parte di lui querelare.,
line:2de9e5,"Varney: Il pezzo più grosso, non importa quale.",
line:2c0c05,Mae: o_o ,
line:312fc9,"Chazokov: {align=middle,locator=icanhearyou} Guarda che ti sento, eh!",
line:9c885c,Mae: _o_ ,
line:17fcbc,Varney: Non ricordo di averti chiesto di venire qui.,
line:75a29c,Mae: Scusa.,
line:7620c9,"Varney: Ormai ci sono abituato, purtroppo.",
line:ee9444,Mae: Fantasmi.,
